model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
CodeLlama-13b-Instruct-hf,3,dl_6,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,9,human_11,Data cleaning and preprocessing,Data Quality Score,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_11,Data exploration and statistics understand,Summary Statistics Accuracy,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_11,Data visualization,Visualization Completeness,Visualization Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,9,human_11,Data visualization,Correlation Coefficient,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_11,Completion Rate,CR,CR,0.125,0.125,Completion Rate
CodeLlama-13b-Instruct-hf,1,human_11,Data cleaning and preprocessing,Data Quality Score,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,1,human_11,Data exploration and statistics understand,Summary Statistics Accuracy,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,1,human_11,Data visualization,Visualization Completeness,Visualization Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,1,human_11,Data visualization,Correlation Coefficient,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,1,human_11,Completion Rate,CR,CR,0.125,0.125,Completion Rate
CodeLlama-13b-Instruct-hf,6,human_11,Data cleaning and preprocessing,Data Quality Score,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_11,Data exploration and statistics understand,Summary Statistics Accuracy,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_11,Data visualization,Visualization Completeness,Visualization Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,6,human_11,Data visualization,Correlation Coefficient,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_11,Completion Rate,CR,CR,0.125,0.125,Completion Rate
CodeLlama-13b-Instruct-hf,2,human_11,Data cleaning and preprocessing,Data Quality Score,Data Quality Score,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,2,human_11,Data exploration and statistics understand,Summary Statistics Accuracy,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,2,human_11,Data visualization,Visualization Completeness,Visualization Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,2,human_11,Data visualization,Correlation Coefficient,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,2,human_11,Completion Rate,CR,CR,0.25,0.25,Completion Rate
CodeLlama-13b-Instruct-hf,4,csv_excel_33,Data mining,Silhouette Score for Clustering,Silhouette Score,Error,0,single task
CodeLlama-13b-Instruct-hf,4,csv_excel_33,Data cleaning and preprocessing,Keep Column Accuracy,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,4,csv_excel_33,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,8,csv_excel_33,Data mining,Silhouette Score for Clustering,Silhouette Score,Error,0,single task
CodeLlama-13b-Instruct-hf,8,csv_excel_33,Data cleaning and preprocessing,Keep Column Accuracy,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,8,csv_excel_33,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,9,human_20,Data cleaning and preprocessing,Completeness of CustomerID Filling,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_20,Data cleaning and preprocessing,Percentage of Outlier Removal,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_20,Data cleaning and preprocessing,Min-Max Normalization Check,Normalization Range Check,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_20,Data cleaning and preprocessing,TransactionDate Format Verification,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_20,Data cleaning and preprocessing,One-hot Encoding Completeness,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,9,human_20,Completion Rate,CR,CR,0.2,0.2,Completion Rate
CodeLlama-13b-Instruct-hf,8,human_20,Data cleaning and preprocessing,Completeness of CustomerID Filling,Data Completeness,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,8,human_20,Data cleaning and preprocessing,Percentage of Outlier Removal,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,8,human_20,Data cleaning and preprocessing,Min-Max Normalization Check,Normalization Range Check,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,8,human_20,Data cleaning and preprocessing,TransactionDate Format Verification,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,8,human_20,Data cleaning and preprocessing,One-hot Encoding Completeness,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,8,human_20,Completion Rate,CR,CR,1.0,1.0,Completion Rate
CodeLlama-13b-Instruct-hf,5,human_20,Data cleaning and preprocessing,Completeness of CustomerID Filling,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,5,human_20,Data cleaning and preprocessing,Percentage of Outlier Removal,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,5,human_20,Data cleaning and preprocessing,Min-Max Normalization Check,Normalization Range Check,Error,0,single task
CodeLlama-13b-Instruct-hf,5,human_20,Data cleaning and preprocessing,TransactionDate Format Verification,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,5,human_20,Data cleaning and preprocessing,One-hot Encoding Completeness,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,5,human_20,Completion Rate,CR,CR,0.4,0.4,Completion Rate
CodeLlama-13b-Instruct-hf,3,human_23,Data cleaning and preprocessing,Mean Absolute Error for Missing Values Handling,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,3,human_23,Data cleaning and preprocessing,Percentage of Data Within Bounds for Outliers Handling,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,3,human_23,Data cleaning and preprocessing,Minimum and Maximum Feature Values Normalization,Normalization Range Check,Error,0,single task
CodeLlama-13b-Instruct-hf,3,human_23,Data cleaning and preprocessing,Date Column Format Verification,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,3,human_23,Data cleaning and preprocessing,One-Hot Encoding Consistency Check,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,3,human_23,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,0,csv_excel_4,Data cleaning and preprocessing,Outlier Detection Rate,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,0,csv_excel_4,Data exploration and statistics understand,Mean Squared Error (MSE) for Outlier Replacements,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,0,csv_excel_4,Data visualization,Plot Clarity Score (using the difference in means of original vs. smoothed),Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,0,csv_excel_4,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,6,csv_excel_4,Data cleaning and preprocessing,Outlier Detection Rate,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,6,csv_excel_4,Data exploration and statistics understand,Mean Squared Error (MSE) for Outlier Replacements,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_4,Data visualization,Plot Clarity Score (using the difference in means of original vs. smoothed),Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_4,Completion Rate,CR,CR,0.3333333333333333,0.3333333333333333,Completion Rate
CodeLlama-13b-Instruct-hf,9,human_18,Predictive modeling,PCA Explained Variance Ratio,Explained Variance Ratio,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_18,Data visualization,Visualization Completeness (number of PCA points displayed),Visualization Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_18,Predictive modeling,Classifier Model Accuracy,Model Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_18,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,4,human_24,Data cleaning and preprocessing,Encoding Consistency Check,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,4,human_24,Completion Rate,CR,CR,1.0,1.0,Completion Rate
CodeLlama-13b-Instruct-hf,5,human_24,Data cleaning and preprocessing,Encoding Consistency Check,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,5,human_24,Completion Rate,CR,CR,1.0,1.0,Completion Rate
CodeLlama-13b-Instruct-hf,7,human_22,Data cleaning and preprocessing,CustomerID Missing Value Removal Rate,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,7,human_22,Data cleaning and preprocessing,One-Hot Encoding Integrity,Data Quality Score,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,7,human_22,Completion Rate,CR,CR,0.25,0.25,Completion Rate
CodeLlama-13b-Instruct-hf,7,human_7,Data visualization,Visualization Completeness,Visualization Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,7,human_7,Data mining,Association Rule Coverage,Association Rule Confidence,Error,0,single task
CodeLlama-13b-Instruct-hf,7,human_7,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,7,human_7,Completion Rate,CR,CR,0.3333333333333333,0.3333333333333333,Completion Rate
CodeLlama-13b-Instruct-hf,2,human_7,Data visualization,Visualization Completeness,Visualization Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,2,human_7,Data mining,Association Rule Coverage,Association Rule Confidence,Error,0,single task
CodeLlama-13b-Instruct-hf,2,human_7,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,2,human_7,Completion Rate,CR,CR,0.3333333333333333,0.3333333333333333,Completion Rate
CodeLlama-13b-Instruct-hf,9,human_21,Data cleaning and preprocessing,Missing Value Imputation Accuracy,Data Completeness,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,9,human_21,Data cleaning and preprocessing,Outlier Replacement Consistency,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,9,human_21,Data cleaning and preprocessing,Z-Score Normalization Check,Normalization Range Check,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,9,human_21,Data cleaning and preprocessing,Encoding Accuracy for Diagnosis,Data Quality Score,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,9,human_21,Completion Rate,CR,CR,0.625,0.625,Completion Rate
CodeLlama-13b-Instruct-hf,6,human_21,Data cleaning and preprocessing,Missing Value Imputation Accuracy,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_21,Data cleaning and preprocessing,Outlier Replacement Consistency,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_21,Data cleaning and preprocessing,Z-Score Normalization Check,Normalization Range Check,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_21,Data cleaning and preprocessing,Encoding Accuracy for Diagnosis,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_21,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,0,human_0,Data exploration and statistics understand,Summary Statistics Comparison,Data Consistency,Error,0,single task
CodeLlama-13b-Instruct-hf,0,human_0,Predictive modeling,Model Accuracy,Model Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,0,human_0,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,2,dl_0,Data cleaning and preprocessing,Missing Value Percentage,Data Completeness,True,2,single task (bool)
CodeLlama-13b-Instruct-hf,2,dl_0,Data exploration and statistics understand,Descriptive Statistics Comparison,Data Consistency,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,2,dl_0,Data mining,Cluster Quality (Silhouette Score),Silhouette Score,Error,0,single task
CodeLlama-13b-Instruct-hf,2,dl_0,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,2,dl_0,Completion Rate,CR,CR,0.5,0.5,Completion Rate
CodeLlama-13b-Instruct-hf,6,human_2,Data cleaning and preprocessing,Data Cleaning Completeness,Data Cleaning Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_2,Predictive modeling,Model Performance (R-squared),R-squared Value,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_2,Predictive modeling,Expenditure Accuracy,Model Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,6,human_2,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,2,human_19,Data visualization,Visual Quality Assessment,Visualization Quality,4,2,single task (int)
CodeLlama-13b-Instruct-hf,2,human_19,Completion Rate,CR,CR,1.0,1.0,Completion Rate
CodeLlama-13b-Instruct-hf,6,csv_excel_34,Data cleaning and preprocessing,Data Quality Score,Data Quality Score,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_34,Data visualization,Lorenz Curve Visual Inspection,Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_34,Data exploration and statistics understand,Gini Coefficient Calculation,Data Uniformity,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_34,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,8,csv_excel_41,Data cleaning and preprocessing,Proportion of Missing Values,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,8,csv_excel_41,Data cleaning and preprocessing,Mean Absolute Error for Weight Imputation,Data Quality Score,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,8,csv_excel_41,Completion Rate,CR,CR,0.25,0.25,Completion Rate
CodeLlama-13b-Instruct-hf,3,csv_excel_41,Data cleaning and preprocessing,Proportion of Missing Values,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,3,csv_excel_41,Data cleaning and preprocessing,Mean Absolute Error for Weight Imputation,Data Quality Score,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,3,csv_excel_41,Completion Rate,CR,CR,0.25,0.25,Completion Rate
CodeLlama-13b-Instruct-hf,6,csv_excel_41,Data cleaning and preprocessing,Proportion of Missing Values,Data Completeness,Error,0,single task
CodeLlama-13b-Instruct-hf,6,csv_excel_41,Data cleaning and preprocessing,Mean Absolute Error for Weight Imputation,Data Quality Score,False,1,single task (bool)
CodeLlama-13b-Instruct-hf,6,csv_excel_41,Completion Rate,CR,CR,0.25,0.25,Completion Rate
CodeLlama-13b-Instruct-hf,3,dl_15,Predictive modeling,Code Completeness,Model Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,3,dl_15,Interpretability and report generation,L1 Norm Calculation,Result Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,3,dl_15,Data exploration and statistics understand,Weight Pruning Efficiency,Data Accuracy,Error,0,single task
CodeLlama-13b-Instruct-hf,3,dl_15,Completion Rate,CR,CR,0.0,0.0,Completion Rate
CodeLlama-13b-Instruct-hf,9,dl_16,Predictive modeling,Clustering Result Consistency,Clustering Validity,Error,0,single task
CodeLlama-13b-Instruct-hf,9,dl_16,Data visualization,Visualization Quality (Visual Comparison Metrics),Visualization Quality,Error,0,single task
CodeLlama-13b-Instruct-hf,9,dl_16,Completion Rate,CR,CR,0.0,0.0,Completion Rate
